ph,temperature_c,ammonia_mg_l,nitrite_mg_l,nitrate_mg_l,ph_rolling_3,ph_rolling_7,ph_change_rate,temperature_c_rolling_3,temperature_c_rolling_7,temperature_c_change_rate,ammonia_mg_l_rolling_3,ammonia_mg_l_rolling_7,ammonia_mg_l_change_rate,nitrite_mg_l_rolling_3,nitrite_mg_l_rolling_7,nitrite_mg_l_change_rate,nitrate_mg_l_rolling_3,nitrate_mg_l_rolling_7,nitrate_mg_l_change_rate,water_stability_index,risk_level
6.07312,27.1875,0,0.017,72,6.04437,6.03292,0.03631,27.14583,27.16071,0.0625,0,0,0,0.017,0.017,0,171.66667,152.14286,-179,0.065,Low Risk
6.03681,27.1875,0,0.017,87,6.05345,6.03681,-0.01362,27.16667,27.14286,0.0625,0,0,0,0.017,0.017,0,117.66667,149.57143,-107,0.05517,Low Risk
6.0822,27.125,0.00001,0.017,65,6.05648,6.04654,0.04539,27.14583,27.14286,-0.0625,0,0,0.00001,0.017,0.017,0,115.33333,141.28571,-22,0.06197,Low Risk
6.02319,27.125,0,0.017,75,6.0474,6.04654,-0.05901,27.14583,27.14286,0,0,0,-0.00001,0.017,0.017,0,75.66667,133.71429,10,0.06197,Low Risk
6.03227,27.125,0.00001,0.017,103,6.02168,6.03681,0.0227,27.14583,27.14286,-0.0625,0,0,0.00001,0.017,0.017,0,105.33333,105.28571,4,0.06272,Low Risk
6.03227,27.125,0.00002,0.017,48,6.03378,6.02903,0,27.125,27.14286,0,0.00001,0,0.00002,0.017,0.017,0,104.66667,111.57143,-67,0.03468,Low Risk
6.03227,27.125,0.00004,0.017,97,6.03227,6.03032,0,27.125,27.14286,0,0.00002,0.00001,0.00002,0.017,0.017,0,86.66667,109.14286,49,0.03408,Low Risk
6.01411,27.1875,0,0.017,64,6.02773,6.03032,-0.01816,27.1875,27.16071,0,0,0.00001,0,0.017,0.017,0,104.33333,111.71429,-74,0.03143,Low Risk
6.02773,27.125,0.00027,0.017,103,6.0247,6.02968,0.01362,27.16667,27.16071,-0.0625,0.00009,0.00005,0.00027,0.017,0.017,0,101.66667,110,39,0.0316,Low Risk
6.02319,27.125,0.00001,0.017,72,6.03227,6.02903,-0.01816,27.14583,27.13393,-0.0625,0,0,0.00001,0.017,0.017,0,86.66667,136.42857,-41,0.02729,Low Risk
6.03681,27.125,0,0.017,64,6.04286,6.03681,-0.01816,27.125,27.13393,0,0,0,0,0.017,0.017,0,97,114,-50,0.03143,Low Risk
6.03227,27.125,0,0.017,126,6.03227,6.03551,0,27.125,27.125,0,0,0,0,0.017,0.017,0,100.33333,94.85714,15,0.01942,Moderate Risk
6.01865,27.125,0,0.017,30,6.02773,6.03162,-0.01816,27.125,27.13393,0,0,0,0,0.017,0.017,0,60.33333,93.28571,-23,0.02874,Low Risk
6.05497,27.125,0,0.017,42,6.0474,6.03551,0.00454,27.14583,27.13393,-0.0625,0,0,0,0.017,0.017,0,71,89.14286,-43,0.03839,Low Risk
6.03227,27.125,0,0.017,39,6.03984,6.03746,0,27.125,27.13393,0,0,0,0,0.017,0.017,0,43,78.28571,-9,0.03432,Low Risk
6.04135,27.125,0,0.017,28,6.0353,6.04005,0.00908,27.14583,27.14286,-0.0625,0,0,-0.00001,0.017,0.017,0,58,62.14286,-79,0.03395,Low Risk
6.03227,27.1875,0,0.017,38,6.03378,6.03746,0,27.14583,27.14286,0.0625,0,0,0,0.017,0.017,0,63.66667,72,-28,0.03219,Low Risk
6.05497,27.125,0,0.017,17,6.03984,6.0407,0.0227,27.14583,27.14286,-0.0625,0,0,0,0.017,0.017,0,40.33333,68.85714,-21,0.03585,Low Risk
6.05043,27.125,0,0.017,37,6.04589,6.0433,-0.00454,27.14583,27.13393,0,0,0,0,0.017,0.017,0,30.66667,58.85714,20,0.03202,Low Risk
6.03681,27.125,0.00003,0.017,16,6.0474,6.04265,-0.01362,27.125,27.13393,0,0.00001,0,0.00003,0.017,0.017,0,23.33333,57.14286,-21,0.03262,Low Risk
6.06858,27.125,0,0.017,16,6.05194,6.04459,0.03177,27.125,27.13393,0,0.00001,0,-0.00003,0.017,0.017,0,23,39.57143,0,0.03943,Low Risk
6.04135,27.125,0.00002,0.017,45,6.04891,6.04524,-0.02723,27.125,27.13393,0,0.00002,0.00001,0.00002,0.017,0.017,0,25.66667,33.57143,29,0.03878,Low Risk
6.03681,27.125,0.00008,0.017,31,6.03832,6.04654,0,27.14583,27.13393,-0.0625,0.00003,0.00002,0.00008,0.017,0.017,0,59,37.57143,-70,0.03613,Low Risk
6.03681,27.125,0.00001,0.017,47,6.04286,6.0407,-0.01362,27.125,27.13393,0,0,0.00002,0.00001,0.017,0.017,0,105.66667,97.57143,-20,0.02158,Low Risk
6.05043,27.125,0,0.017,1,6.04438,6.0433,0.01816,27.125,27.125,0,0,0,0,0.017,0.017,0,74.33333,104.14286,-84,0.0147,Low Risk
6.03227,27.125,0,0.017,31,6.03832,6.042,-0.01816,27.125,27.125,0,0,0,0,0.017,0.017,0,39,81.57143,30,0.01694,Low Risk
6.0822,27.0625,0,0.017,0,6.05043,6.04589,0.04539,27.10417,27.11607,-0.0625,0,0,0,0.017,0.017,0,33.33333,52.85714,-69,0.04737,Low Risk
6.02319,27.0625,0,0.017,8,6.05194,6.04394,-0.02724,27.08333,27.10714,-0.0625,0,0,0,0.017,0.017,0,63.66667,53.85714,-175,0.05442,Low Risk
